Comparison of experimentally derived and calculated growth predictions for the complete E. coli model (in vivo/FBA/rFBA, "+" = growth, "-" = no growth, "n" = not calculable)																																																																																																															
Data Definition	Medium	b3172 M ARGG	b3359 M ARGDR	b3572 M AVTA1	b3671 M ILVB1 b3671 M ILVB2	b3771 M ILVD1 b3771 M ILVD2	b3829 M METE	b3870 M GLNA	b3957 M ARGE1 b3957 M ARGE2	b3958 M ARGCR	b3959 M ARGB	b4013 M META	b4054 M TYRB b4054 M TYRB1R b4054 M TYRB2R	b4117 M ADIA	b3500 M GOR_R	b3551 M BISC1 b3551 M BISC2	b3929 M MENG	b3930 M MENA	b3991 M THIF	b3992 M THIF	b3993 M THIB	b3994 M THIC	b4039 M UBIC	b3091 M UXAA	b3132 M AGAZ b3132 M AGAYR	b3416 M MALQ1 b3416 M MALQ2 b3416 M MALQ3 b3416 M MALQ4	b3519 M TREF	b3564 M XYLB1 b3564 M XYLB2	b3565 M XYLA1 b3565 M XYLA2R	b3588 M ALDBR	b3600 M MTLDR	b3902 M RHADR	b3903 M RHAAR	b3904 M RHAB	b4090 M RPIBR	b4119 M MELA	b3908 M SODA	b3942 M KATG	b3224 M SIALAUP	b3225 M NANA	b3429 M GLGA	b3430 M GLGC	b3137 M AGAZ b3137 M AGAYR	b3213 M GLTB	b3403 M PCKA	b3437 M GNTK	b3517 M GADA	b3787 M WECC	b3789 M RFFH	b3821 M PLDA1 b3821 M PLDA2 b3821 M PLDA3	b3926 M GLPK	b3945 M GLDA	b3236 M MDHR	b3426 M GLPD	b3731 M ATPAR	b3892 M FDOH b3892 M FDOH2	b3893 M FDOH b3893 M FDOH2	b3894 M FDOH b3894 M FDOH2	b3916 M PFKA	b3919 M TPIAR	b3946 M TALC	b3952 M PFLC	b4025 M PGIR	b4041 M PLS	b3806 M CYAA	b3831 M UDPR	b4005 M PURDR	b4006 M PURH1R b4006 M PURH2R	b3119 R TdcR	b3357 R Crp	b3418 R MalT	b3423 R GlpR	b3438 R GntR	b3569 R XylR	b3668 R UhpB	b3743 R AsnC	b3753 R RbsR	b3773 R IlvY	b3868 R GlnG	b3869 R GlnL	b3905 R RhaS	b3906 R RhaR	b3912 R CpxR	b3934 R CytR	b4063 R SoxR	b4118 R MelR	b3093 M EXUT1R b3093 M EXUT2R	b3161 M TRPUP3R b3161 M MTRR	b3409 M FE2UP	b3415 M GLCNUPR	b3450 M UGPA	b3451 M UGPA	b3454 M ILEUP b3454 M LEUUP b3454 M LEUUP2 b3454 M VALUP b3454 M ALAUP b3454 M THRUP1	b3456 M ILEUP b3456 M LEUUP b3456 M LEUUP2 b3456 M VALUP b3456 M ALAUP b3456 M THRUP1	b3566 M XYLUP	b3567 M XYLUP	b3568 M XYLUP	b3603 M LACUPR b3603 M LLDP2R b3603 M LLDP3R	b3653 M GLTS	b3725 M PIUP1	b3750 M RIBUP	b3751 M RIBUP	b3849 M POTUP3R	b3909 M KDGTR b3909 M KDGT2R	b3917 M H2SO4UP2 b3917 M SSO3UP2	b3927 M GLUPR b3927 M UREATXR b3927 M GLALTXR	b4033 M MALE1 b4033 M MALE2 b4033 M MALE3 b4033 M MALE4 b4033 M MALE5	b4035 M MALE1 b4035 M MALE2 b4035 M MALE3 b4035 M MALE4 b4035 M MALE5	b4111 M PROUPR	b4120 M MELIUP	b4138 M DCUA1 b4138 M DCUA2 b4138 M DCUA3 b4138 M DCUA4 b4138 M DCUA5R
OD600 growth on Glycolic Acid	glyclt(e)-nh4(e)	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
OD600 growth on N-Acetyl-b-D-Mannosamine	acmana(e)-nh4(e)	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/n/+	+/n/+	-/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
OD600 growth on N-Acetyl-D-Glucosamine	acgam(e)-nh4(e)	-/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
OD600 growth on Butyric Acid	but(e)-nh4(e)	-/-/-	-/-/-	-/+/-	-/+/-	-/-/-	-/+/-	-/+/-	-/-/-	-/-/-	-/-/-	-/-/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/-/-	-/-/-	+/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/-/-	-/+/-	-/+/-	-/-/-	-/-/-	-/+/-	-/+/-	-/-/-	-/-/-	-/n/-	-/n/-	+/n/-	+/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-
OD600 growth on D,L-Carnitine	crn(e)-nh4(e)	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	+/-/-	-/-/-	-/-/-	-/-/-	-/-/-	+/-/-	-/-/-	-/-/-	-/-/-	+/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/n/-	+/n/-	+/n/-	+/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/-/-	-/-/-	-/-/-	-/-/-	+/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-	+/-/-	-/-/-	-/-/-	-/-/-	-/-/-	-/-/-
OD600 growth on L-Tartaric Acid	tartr-L(e)-nh4(e)	-/-/-	-/-/-	+/+/-	-/+/-	-/-/-	+/+/-	-/+/-	+/-/-	-/-/-	-/-/-	+/-/-	+/+/-	-/+/-	+/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	+/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	+/+/-	-/+/-	-/+/-	-/+/-	-/+/-	+/+/-	-/+/-	+/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/-/-	-/-/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	+/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	+/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/-/-	+/+/-	-/+/-	+/-/-	-/-/-	-/+/-	-/+/-	-/-/-	+/-/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	+/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	-/n/-	+/n/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	+/+/-	-/+/-	+/+/-	-/+/-	-/+/-	-/+/-	-/+/-	-/+/-	+/+/-	-/+/-	-/+/-	+/+/-
OD600 growth on N-Acetyl-Neuraminic Acid	acnam(e)-nh4(e)	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	-/-/-	-/-/-	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
OD600 growth on Putrescine	ptrc(e)-nh4(e)	-/-/-	+/-/-	-/+/+	+/+/+	-/-/-	-/+/+	+/+/+	+/-/-	+/-/-	+/-/-	+/-/-	-/+/+	-/+/+	+/+/+	-/+/+	+/+/+	+/+/+	+/+/+	-/+/+	-/+/+	-/+/+	-/+/+	+/+/+	-/+/+	-/+/+	+/+/+	-/+/+	+/+/+	-/+/+	-/+/+	+/+/+	-/+/+	+/+/+	-/+/+	-/+/+	+/+/+	-/+/+	+/+/+	+/+/+	-/-/-	+/-/-	-/+/+	+/+/+	-/+/+	-/+/+	-/+/+	-/+/+	-/+/+	-/+/+	+/+/+	+/+/+	-/+/+	-/+/+	-/-/-	+/+/+	-/+/+	-/+/+	-/+/+	-/-/-	+/+/+	+/+/+	-/-/-	-/-/-	-/+/+	+/+/+	-/-/-	+/-/-	+/n/+	-/n/+	-/n/+	+/n/+	-/n/+	-/n/+	-/n/+	+/n/+	-/n/+	-/n/-	+/n/+	+/n/+	-/n/+	+/n/+	+/n/+	+/n/+	-/n/+	+/n/+	-/+/+	-/+/+	-/+/+	+/+/+	+/+/+	-/+/+	+/+/+	-/+/+	-/+/+	-/+/+	-/+/+	-/+/+	+/+/+	-/+/+	-/+/+	-/+/+	-/+/+	+/+/+	-/+/+	+/+/+	-/+/+	-/+/+	-/+/+	-/+/+	-/+/+
OD600 growth on Ala-Asp	ala-L(e)-asp-L(e)-succ(e)	-/-/-	+/-/-	+/+/+	+/+/+	-/-/-	-/+/+	+/+/+	-/-/-	+/-/-	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
OD600 growth on Ala-Gln	ala-L(e)-gln-L(e)-succ(e)	-/-/-	+/-/-	+/+/+	+/+/+	+/-/-	-/+/+	+/+/+	-/-/-	+/-/-	-/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	-/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	-/-/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
OD600 growth on Ala-Glu	ala-L(e)-glu-L(e)-succ(e)	-/-/-	+/-/-	+/+/+	+/+/+	-/-/-	-/+/+	+/+/+	-/-/-	+/-/-	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
OD600 growth on Ala-Gly	ala-L(e)-gly(e)-succ(e)	-/-/-	+/-/-	+/+/+	+/+/+	-/-/-	+/+/+	+/+/+	-/-/-	+/-/-	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	-/n/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
OD600 growth on Ala-His	ala-L(e)-his-L(e)-succ(e)	-/-/-	+/-/-	+/+/+	+/+/+	-/-/-	-/+/+	+/+/+	-/-/-	-/-/-	-/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	-/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	-/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	-/+/+	+/+/+	-/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	-/-/-	+/n/+	-/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/-	+/n/+	+/n/+	-/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	-/+/+	+/+/+	-/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
OD600 growth on Ala-Leu	ala-L(e)-leu-L(e)-succ(e)	-/-/-	+/-/-	+/+/-	-/+/-	-/-/-	-/+/-	+/+/-	-/-/-	-/-/-	-/-/-	-/-/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	-/+/-	+/+/-	+/+/-	+/+/-	-/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	-/+/-	+/+/-	-/+/-	-/+/-	-/+/-	+/-/-	+/-/-	-/+/-	+/+/-	+/+/-	-/+/-	+/+/-	+/+/-	+/+/-	+/+/-	-/+/-	+/+/-	-/+/-	+/+/-	-/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/-/-	+/+/-	+/+/-	+/-/-	+/-/-	+/+/-	+/+/-	+/-/-	-/-/-	-/n/-	+/n/-	+/n/-	+/n/-	-/n/-	+/n/-	+/n/-	+/n/-	+/n/-	-/n/-	+/n/-	+/n/-	+/n/-	+/n/-	+/n/-	+/n/-	+/n/-	+/n/-	-/+/-	-/+/-	+/+/-	+/+/-	+/+/-	-/+/-	+/+/-	-/+/-	+/+/-	+/+/-	-/+/-	+/+/-	-/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	+/+/-	-/+/-	-/+/-	+/+/-
OD600 growth on Ala-Thr	ala-L(e)-thr-L(e)-succ(e)	-/-/-	+/-/-	+/+/+	-/+/+	-/-/-	-/+/+	+/+/+	+/-/-	+/-/-	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	-/n/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
OD600 growth on D-Alanine	ala-D(e)-succ(e)	-/-/-	+/-/-	+/+/+	+/+/+	-/-/-	-/+/+	+/+/+	-/-/-	+/-/-	-/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
OD600 growth on D-Serine	ser-D(e)-succ(e)	-/-/-	+/-/-	+/+/+	+/+/+	-/-/-	+/+/+	+/+/+	-/-/-	+/-/-	-/-/-	-/-/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	-/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/-	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/+/+	+/+/+	+/-/-	+/-/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/-	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/n/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+	+/+/+
